Line,Replicate,Vial,Sex,Block,Length(mm),Width(mm)
48,1,1,1,1,0.92,0.72
48,2,1,1,1,0.95,0.79
48,3,1,1,1,0.93,0.74
48,4,1,1,1,0.99,0.8
48,5,1,1,1,0.91,0.76
48,6,1,1,1,0.99,0.79
48,7,1,1,1,0.95,0.78
48,8,1,1,1,0.94,0.76
48,9,1,1,1,1,0.8
48,10,1,1,1,0.97,0.78
48,1,2,1,1,0.93,0.77
48,2,2,1,1,0.96,0.81
48,3,2,1,1,1,0.87
48,4,2,1,1,0.93,0.8
48,5,2,1,1,0.97,0.83
48,6,2,1,1,0.99,0.85
48,7,2,1,1,1.01,0.87
48,8,2,1,1,0.93,0.76
48,9,2,1,1,1.02,0.82
48,10,2,1,1,0.96,0.79
48,1,1,2,1,0.9,0.78
48,2,1,2,1,0.75,0.67
48,3,1,2,1,0.83,0.7
48,4,1,2,1,0.75,0.66
48,5,1,2,1,0.84,0.72
48,6,1,2,1,0.88,0.74
48,7,1,2,1,0.78,0.7
48,8,1,2,1,0.76,0.67
48,9,1,2,1,0.89,0.78
48,10,1,2,1,0.84,0.68
48,1,2,2,1,0.87,0.74
48,2,2,2,1,0.84,0.67
48,3,2,2,1,0.82,0.71
48,4,2,2,1,0.85,0.76
48,5,2,2,1,0.98,0.79
48,6,2,2,1,0.88,0.76
48,7,2,2,1,0.9,0.73
48,8,2,2,1,0.85,0.74
48,9,2,2,1,0.78,0.69
48,10,2,2,1,0.83,0.72
49,1,1,1,1,0.99,0.85
49,2,1,1,1,0.99,0.86
49,3,1,1,1,0.85,1.02
49,4,1,1,1,1.01,0.81
49,5,1,1,1,1.01,0.8
49,6,1,1,1,0.99,0.79
49,7,1,1,1,1.01,0.81
49,8,1,1,1,1.01,0.88
49,9,1,1,1,1,0.83
49,10,1,1,1,0.99,0.8
49,1,2,1,1,1.02,0.83
49,2,2,1,1,1.03,0.83
49,3,2,1,1,1.05,0.87
49,4,2,1,1,0.99,0.79
49,5,2,1,1,1.01,0.84
49,6,2,1,1,0.98,0.83
49,7,2,1,1,0.99,0.88
49,8,2,1,1,1,0.81
49,9,2,1,1,0.98,0.81
49,10,2,1,1,0.97,0.78
49,1,1,2,1,0.84,0.73
49,2,1,2,1,0.83,0.74
49,3,1,2,1,0.89,0.76
49,4,1,2,1,0.89,0.75
49,5,1,2,1,0.85,0.76
49,6,1,2,1,0.91,0.76
49,7,1,2,1,0.87,0.74
49,8,1,2,1,0.84,0.73
49,9,1,2,1,0.86,0.77
49,10,1,2,1,0.89,0.73
49,1,2,2,1,0.83,0.75
49,2,2,2,1,0.83,0.73
49,3,2,2,1,0.9,0.77
49,4,2,2,1,0.88,0.75
49,5,2,2,1,0.85,0.74
49,6,2,2,1,0.92,0.76
49,7,2,2,1,0.85,0.75
49,8,2,2,1,0.73,0.85
49,9,2,2,1,0.89,0.77
49,10,2,2,1,0.88,0.77
57,1,1,1,1,0.96,0.85
57,2,1,1,1,0.95,0.8
57,3,1,1,1,0.91,0.77
57,4,1,1,1,0.96,0.85
57,5,1,1,1,0.97,0.83
57,6,1,1,1,0.99,0.87
57,7,1,1,1,0.95,0.82
57,8,1,1,1,0.93,0.82
57,9,1,1,1,0.92,0.81
57,10,1,1,1,0.93,0.78
57,1,2,1,1,0.95,0.78
57,2,2,1,1,0.92,0.8
57,3,2,1,1,0.95,0.8
57,4,2,1,1,0.93,0.81
57,5,2,1,1,0.94,0.83
57,6,2,1,1,0.94,0.81
57,7,2,1,1,0.96,0.82
57,8,2,1,1,0.93,0.81
57,9,2,1,1,0.95,0.77
57,10,2,1,1,0.91,0.81
57,1,1,2,1,0.83,0.74
57,2,1,2,1,0.82,0.72
57,3,1,2,1,0.84,0.72
57,4,1,2,1,0.86,0.75
57,5,1,2,1,0.83,0.71
57,6,1,2,1,0.81,0.69
57,7,1,2,1,0.84,0.71
57,8,1,2,1,0.83,0.75
57,9,1,2,1,0.83,0.73
57,10,1,2,1,0.82,0.7
57,1,2,2,1,0.84,0.75
57,2,2,2,1,0.81,0.72
57,3,2,2,1,0.84,0.75
57,4,2,2,1,0.82,0.7
57,5,2,2,1,0.82,0.72
57,6,2,2,1,0.83,0.74
57,7,2,2,1,0.81,0.69
57,8,2,2,1,0.82,0.71
57,9,2,2,1,0.85,0.75
57,10,2,2,1,0.82,0.73
69,1,1,1,1,0.98,0.84
69,2,1,1,1,1.02,0.83
69,3,1,1,1,1.04,0.87
69,4,1,1,1,0.99,0.84
69,5,1,1,1,1.02,0.85
69,6,1,1,1,1.02,0.85
69,7,1,1,1,1,0.81
69,8,1,1,1,1.03,0.86
69,9,1,1,1,1,0.83
69,10,1,1,1,1.03,0.85
69,1,2,1,1,0.96,0.81
69,2,2,1,1,0.96,0.86
69,3,2,1,1,1.05,0.88
69,4,2,1,1,1.02,0.84
69,5,2,1,1,0.96,0.81
69,6,2,1,1,1.03,0.86
69,7,2,1,1,1.05,0.83
69,8,2,1,1,0.99,0.89
69,9,2,1,1,1,0.82
69,10,2,1,1,1.04,0.86
69,1,1,2,1,0.84,0.72
69,2,1,2,1,0.86,0.74
69,3,1,2,1,0.89,0.75
69,4,1,2,1,0.86,0.72
69,5,1,2,1,0.9,0.76
69,6,1,2,1,0.87,0.74
69,7,1,2,1,0.86,0.78
69,8,1,2,1,0.86,0.71
69,9,1,2,1,0.84,0.72
69,10,1,2,1,0.84,0.72
69,1,2,2,1,0.85,0.76
69,2,2,2,1,0.89,0.77
69,3,2,2,1,0.86,0.78
69,4,2,2,1,0.87,0.73
69,5,2,2,1,0.88,0.78
69,6,2,2,1,0.87,0.74
69,7,2,2,1,0.87,0.77
69,8,2,2,1,0.92,0.75
69,9,2,2,1,0.86,0.71
69,10,2,2,1,0.88,0.76
83,1,1,1,1,1,0.87
83,2,1,1,1,0.96,0.81
83,3,1,1,1,0.92,0.8
83,4,1,1,1,0.97,0.83
83,5,1,1,1,0.95,0.82
83,6,1,1,1,0.94,0.8
83,7,1,1,1,0.97,0.84
83,8,1,1,1,0.95,0.83
83,9,1,1,1,0.94,0.83
83,10,1,1,1,0.97,0.84
83,1,2,1,1,1,0.82
83,2,2,1,1,1.06,0.89
83,3,2,1,1,0.98,0.82
83,4,2,1,1,1,0.87
83,5,2,1,1,0.96,0.82
83,6,2,1,1,0.99,0.88
83,7,2,1,1,0.99,0.85
83,8,2,1,1,0.96,0.84
83,9,2,1,1,1.01,0.86
83,10,2,1,1,0.99,0.84
83,1,1,2,1,0.82,0.73
83,2,1,2,1,0.85,0.74
83,3,1,2,1,0.83,0.71
83,4,1,2,1,0.88,0.74
83,5,1,2,1,0.87,0.74
83,6,1,2,1,0.88,0.75
83,7,1,2,1,0.79,0.7
83,8,1,2,1,0.82,0.71
83,9,1,2,1,0.85,0.75
83,10,1,2,1,0.83,0.75
83,1,2,2,1,0.82,0.73
83,2,2,2,1,0.89,0.78
83,3,2,2,1,0.84,0.71
83,4,2,2,1,0.81,0.71
83,5,2,2,1,0.88,0.72
83,6,2,2,1,0.87,0.75
83,7,2,2,1,0.92,0.79
83,8,2,2,1,0.8,0.7
83,9,2,2,1,0.89,0.78
83,10,2,2,1,0.81,0.72
91,1,1,1,1,0.97,0.85
91,2,1,1,1,0.92,0.81
91,3,1,1,1,0.99,0.81
91,4,1,1,1,0.95,0.86
91,5,1,1,1,1,0.85
91,6,1,1,1,0.99,0.88
91,7,1,1,1,0.93,0.8
91,8,1,1,1,0.99,0.87
91,9,1,1,1,0.98,0.82
91,10,1,1,1,0.99,0.88
91,1,2,1,1,0.95,0.85
91,2,2,1,1,0.95,0.83
91,3,2,1,1,0.94,0.82
91,4,2,1,1,0.95,0.8
91,5,2,1,1,0.92,0.82
91,6,2,1,1,0.91,0.8
91,7,2,1,1,0.98,0.87
91,8,2,1,1,0.99,0.85
91,9,2,1,1,0.95,0.85
91,10,2,1,1,0.91,0.79
91,1,1,2,1,0.74,0.65
91,2,1,2,1,0.85,0.77
91,3,1,2,1,0.83,0.78
91,4,1,2,1,0.83,0.73
91,5,1,2,1,0.85,0.78
91,6,1,2,1,0.86,0.8
91,7,1,2,1,0.86,0.78
91,8,1,2,1,0.86,0.77
91,9,1,2,1,0.79,0.7
91,10,1,2,1,0.79,0.73
91,1,2,2,1,0.8,0.75
91,2,2,2,1,0.84,0.8
91,3,2,2,1,0.83,0.76
91,4,2,2,1,0.82,0.71
91,5,2,2,1,0.79,0.73
91,6,2,2,1,0.87,0.78
91,7,2,2,1,0.84,0.71
