Line,Rep,Score,Parental Temp,Experimental Temp
21,1,106,25,25
21,2,83,25,25
21,3,75,25,25
21,4,47,25,25
21,5,115,25,25
21,6,115,25,25
21,7,49,25,25
21,8,110,25,25
21,9,80,25,25
21,10,110,25,25
26,1,94,25,25
26,2,100,25,25
26,3,88,25,25
26,4,111,25,25
26,5,89,25,25
26,6,77,25,25
26,7,110,25,25
26,8,52,25,25
26,9,103,25,25
26,10,87,25,25
28,1,92,25,25
28,2,98,25,25
28,3,78,25,25
28,4,99,25,25
28,5,115,25,25
28,6,118,25,25
28,7,103,25,25
28,8,76,25,25
28,9,73,25,25
28,10,63,25,25
31,1,132,25,25
31,2,154,25,25
31,3,149,25,25
31,4,122,25,25
31,5,146,25,25
31,6,150,25,25
31,7,163,25,25
31,8,131,25,25
31,9,139,25,25
31,10,166,25,25
32,1,203,25,25
32,2,169,25,25
32,3,185,25,25
32,4,182,25,25
32,5,113,25,25
32,6,144,25,25
32,7,167,25,25
32,8,122,25,25
32,9,101,25,25
32,10,196,25,25
38,1,121,25,25
38,2,113,25,25
38,3,89,25,25
38,4,122,25,25
38,5,101,25,25
38,6,102,25,25
38,7,102,25,25
38,8,113,25,25
38,9,93,25,25
38,10,109,25,25
40,1,48,25,25
40,2,79,25,25
40,3,32,25,25
40,4,28,25,25
40,5,37,25,25
40,6,40,25,25
40,7,51,25,25
40,8,28,25,25
40,9,30,25,25
40,10,29,25,25
41,1,29,25,25
41,2,79,25,25
41,3,43,25,25
41,4,46,25,25
41,5,41,25,25
41,6,57,25,25
41,7,29,25,25
41,8,80,25,25
41,9,58,25,25
41,10,76,25,25
42,1,69,25,25
42,2,64,25,25
42,3,60,25,25
42,4,81,25,25
42,5,103,25,25
42,6,44,25,25
42,7,54,25,25
42,8,53,25,25
42,9,99,25,25
42,10,98,25,25
45,1,89,25,25
45,2,107,25,25
45,3,99,25,25
45,4,130,25,25
45,5,130,25,25
45,6,139,25,25
45,7,88,25,25
45,8,94,25,25
45,9,110,25,25
45,10,98,25,25
