tag,cross,female.parent,male.parent,n.female,n.male,n.total,rep
1,21x45,21,45,11,23,34,White
2,21x228,21,228,58,55,113,White
3,21x26,21,26,78,74,152,White
4,21x810,21,810,77,74,151,White
5,21x217,21,217,39,35,74,White
6,21x256,21,256,39,41,80,White
7,21x233,21,233,30,42,72,White
8,21x28,21,28,75,78,153,White
9,21x280,21,280,41,53,94,White
10,21x513,21,513,42,35,77,White
11,21x91,21,91,51,50,101,White
12,21x239,21,239,31,25,56,White
13,21x370,21,370,12,10,22,White
14,21x195,21,195,47,39,86,White
15,21x57,21,57,60,61,121,White
16,21x138,21,138,41,44,85,White
17,21x208,21,208,17,28,45,White
18,21x161,21,161,53,55,108,White
19,21x386,21,386,40,32,72,White
20,21x176,21,176,40,34,74,White
21,21x40,21,40,60,48,108,White
22,21x365,21,365,50,64,114,White
23,21x555,21,555,58,67,125,White
24,21x712,21,712,39,34,73,White
25,21x805,21,805,44,46,90,White
26,21x41,21,41,56,55,111,White
27,21x517,21,517,30,42,72,White
28,21x227,21,227,53,45,98,White
29,21x705,21,705,80,55,135,White
30,21x158,21,158,31,24,55,White
31,21x908,21,908,58,29,87,White
32,21x890,21,890,38,38,76,White
33,21x129,21,129,32,35,67,White
34,21x820,21,820,25,24,49,White
35,21x595,21,595,26,29,55,White
36,21x318,21,318,32,24,56,White
37,21x313,21,313,40,27,67,White
38,21x358,21,358,71,65,136,White
39,21x882,21,882,83,84,167,White
40,21x375,21,375,32,34,66,White
41,21x367,21,367,51,52,103,White
42,21x639,21,639,34,49,83,White
43,21x399,21,399,44,50,94,White
44,21x379,21,379,48,53,101,White
45,21x380,21,380,43,43,86,White
46,21x398,21,398,30,57,87,White
47,21x21,21,21,57,58,115,White
48,21x235,21,235,19,18,37,White
49,21x461,21,461,62,58,120,White
50,21x790,21,790,24,34,58,White
51,21x45,21,45,44,50,94,Red
52,21x228,21,228,36,40,76,Red
53,21x26,21,26,52,54,106,Red
54,21x810,21,810,27,21,48,Red
55,21x217,21,217,48,39,87,Red
56,21x256,21,256,42,38,80,Red
57,21x233,21,233,21,22,43,Red
58,21x28,21,28,83,70,153,Red
59,21x280,21,280,48,32,80,Red
60,21x513,21,513,66,64,130,Red
61,21x91,21,91,53,48,101,Red
62,21x239,21,239,64,66,130,Red
63,21x370,21,370,24,28,52,Red
64,21x195,21,195,59,40,99,Red
65,21x57,21,57,46,35,81,Red
66,21x138,21,138,86,58,144,Red
67,21x208,21,208,68,63,131,Red
68,21x161,21,161,53,73,126,Red
69,21x386,21,386,63,62,125,Red
70,21x176,21,176,37,45,82,Red
71,21x40,21,40,23,25,48,Red
72,21x365,21,365,61,46,107,Red
73,21x555,21,555,55,49,104,Red
74,21x712,21,712,31,39,70,Red
75,21x805,21,805,60,53,113,Red
76,21x41,21,41,61,53,114,Red
77,21x517,21,517,45,51,96,Red
78,21x227,21,227,72,55,127,Red
79,21x705,21,705,23,22,45,Red
80,21x158,21,158,70,65,135,Red
81,21x908,21,908,56,54,110,Red
82,21x890,21,890,44,35,79,Red
83,21x129,21,129,59,50,109,Red
84,21x820,21,820,36,38,74,Red
85,21x595,21,595,57,52,109,Red
86,21x318,21,318,59,63,122,Red
87,21x313,21,313,49,53,102,Red
88,21x358,21,358,53,45,98,Red
89,21x882,21,882,34,27,61,Red
90,21x375,21,375,64,58,122,Red
91,21x367,21,367,78,54,132,Red
92,21x639,21,639,43,45,88,Red
93,21x399,21,399,46,41,87,Red
94,21x379,21,379,40,34,74,Red
95,21x380,21,380,63,67,130,Red
96,21x398,21,398,80,72,152,Red
97,21x21,21,21,38,59,97,Red
98,21x235,21,235,41,38,79,Red
99,21x461,21,461,65,60,125,Red
100,21x790,21,790,45,48,93,Red
101,21x45,21,45,17,23,40,Blue
102,21x228,21,228,12,9,21,Blue
103,21x26,21,26,39,30,69,Blue
104,21x810,21,810,59,43,102,Blue
105,21x217,21,217,36,40,76,Blue
106,21x256,21,256,70,55,125,Blue
107,21x233,21,233,59,55,114,Blue
108,21x28,21,28,23,17,40,Blue
109,21x280,21,280,60,61,121,Blue
110,21x513,21,513,64,62,126,Blue
111,21x91,21,91,47,43,90,Blue
112,21x239,21,239,62,59,121,Blue
113,21x370,21,370,53,42,95,Blue
114,21x195,21,195,57,50,107,Blue
115,21x57,21,57,33,25,58,Blue
116,21x138,21,138,40,43,83,Blue
117,21x208,21,208,23,28,51,Blue
118,21x161,21,161,64,72,136,Blue
119,21x386,21,386,35,29,64,Blue
120,21x176,21,176,25,30,55,Blue
121,21x40,21,40,19,16,35,Blue
122,21x365,21,365,49,46,95,Blue
123,21x555,21,555,41,39,80,Blue
124,21x712,21,712,32,30,62,Blue
125,21x805,21,805,57,53,110,Blue
126,21x41,21,41,52,43,95,Blue
127,21x517,21,517,46,42,88,Blue
128,21x227,21,227,56,44,100,Blue
129,21x705,21,705,59,70,129,Blue
130,21x158,21,158,68,95,163,Blue
131,21x908,21,908,19,13,32,Blue
132,21x890,21,890,28,23,51,Blue
133,21x129,21,129,58,46,104,Blue
134,21x820,21,820,37,42,79,Blue
135,21x595,21,595,39,33,72,Blue
136,21x318,21,318,29,25,54,Blue
137,21x313,21,313,52,52,104,Blue
138,21x358,21,358,37,24,61,Blue
139,21x882,21,882,23,34,57,Blue
140,21x375,21,375,21,18,39,Blue
141,21x367,21,367,54,62,116,Blue
142,21x639,21,639,45,49,94,Blue
143,21x399,21,399,67,59,126,Blue
144,21x379,21,379,54,57,111,Blue
145,21x380,21,380,64,53,117,Blue
146,21x398,21,398,37,40,77,Blue
147,21x21,21,21,51,42,93,Blue
148,21x235,21,235,46,49,95,Blue
149,21x461,21,461,44,55,99,Blue
150,21x790,21,790,46,32,78,Blue
151,26x45,26,45,40,41,81,White
152,26x228,26,228,52,47,99,White
153,26x26,26,26,39,36,75,White
154,26x810,26,810,47,42,89,White
155,26x217,26,217,37,52,89,White
156,26x256,26,256,34,31,65,White
157,26x233,26,233,38,30,68,White
158,26x28,26,28,34,46,80,White
159,26x280,26,280,45,36,81,White
160,26x513,26,513,24,41,65,White
161,26x91,26,91,61,66,127,White
162,26x239,26,239,38,28,66,White
163,26x370,26,370,25,28,53,White
164,26x195,26,195,30,29,59,White
165,26x57,26,57,62,61,123,White
166,26x138,26,138,49,58,107,White
167,26x208,26,208,70,74,144,White
168,26x161,26,161,67,49,116,White
169,26x386,26,386,68,67,135,White
170,26x176,26,176,45,58,103,White
171,26x40,26,40,34,26,60,White
172,26x365,26,365,57,40,97,White
173,26x555,26,555,27,37,64,White
174,26x712,26,712,29,34,63,White
175,26x805,26,805,45,48,93,White
176,26x41,26,41,66,71,137,White
177,26x517,26,517,40,61,101,White
178,26x227,26,227,37,31,68,White
179,26x705,26,705,35,38,73,White
180,26x158,26,158,37,50,87,White
181,26x908,26,908,58,46,104,White
182,26x890,26,890,29,42,71,White
183,26x129,26,129,44,41,85,White
184,26x820,26,820,39,28,67,White
185,26x595,26,595,28,30,58,White
186,26x318,26,318,48,42,90,White
187,26x313,26,313,30,26,56,White
188,26x358,26,358,37,32,69,White
189,26x882,26,882,34,41,75,White
190,26x375,26,375,26,36,62,White
191,26x367,26,367,22,27,49,White
192,26x639,26,639,27,46,73,White
193,26x399,26,399,43,42,85,White
194,26x379,26,379,39,50,89,White
195,26x380,26,380,31,24,55,White
196,26x398,26,398,31,40,71,White
197,26x21,26,21,50,40,90,White
198,26x235,26,235,57,51,108,White
199,26x461,26,461,58,43,101,White
200,26x790,26,790,49,60,109,White
201,26x45,26,45,32,40,72,Red
202,26x228,26,228,38,35,73,Red
203,26x26,26,26,22,26,48,Red
204,26x810,26,810,41,47,88,Red
205,26x217,26,217,45,46,91,Red
206,26x256,26,256,45,51,96,Red
207,26x233,26,233,47,44,91,Red
208,26x28,26,28,51,45,96,Red
209,26x280,26,280,37,38,75,Red
210,26x513,26,513,41,33,74,Red
211,26x91,26,91,53,33,86,Red
212,26x239,26,239,56,55,111,Red
213,26x370,26,370,31,21,52,Red
214,26x195,26,195,30,40,70,Red
215,26x57,26,57,57,77,134,Red
216,26x138,26,138,58,39,97,Red
217,26x208,26,208,47,56,103,Red
218,26x161,26,161,61,98,159,Red
219,26x386,26,386,53,49,102,Red
220,26x176,26,176,37,32,69,Red
221,26x40,26,40,28,25,53,Red
222,26x365,26,365,40,37,77,Red
223,26x555,26,555,43,46,89,Red
224,26x712,26,712,39,33,72,Red
225,26x805,26,805,65,54,119,Red
226,26x41,26,41,46,59,105,Red
227,26x517,26,517,37,44,81,Red
228,26x227,26,227,56,48,104,Red
229,26x705,26,705,53,60,113,Red
230,26x158,26,158,44,44,88,Red
231,26x908,26,908,34,42,76,Red
232,26x890,26,890,49,56,105,Red
233,26x129,26,129,41,28,69,Red
234,26x820,26,820,39,40,79,Red
235,26x595,26,595,43,38,81,Red
236,26x318,26,318,51,47,98,Red
237,26x313,26,313,40,30,70,Red
238,26x358,26,358,38,43,81,Red
239,26x882,26,882,49,47,96,Red
240,26x375,26,375,43,39,82,Red
241,26x367,26,367,40,49,89,Red
242,26x639,26,639,46,44,90,Red
243,26x399,26,399,31,42,73,Red
244,26x379,26,379,51,47,98,Red
245,26x380,26,380,25,43,68,Red
246,26x398,26,398,34,31,65,Red
247,26x21,26,21,54,50,104,Red
248,26x235,26,235,51,49,100,Red
249,26x461,26,461,44,51,95,Red
250,26x790,26,790,32,23,55,Red
251,26x45,26,45,51,51,102,Blue
252,26x228,26,228,46,41,87,Blue
253,26x26,26,26,60,53,113,Blue
254,26x810,26,810,46,45,91,Blue
255,26x217,26,217,46,65,111,Blue
256,26x256,26,256,64,58,122,Blue
257,26x233,26,233,29,28,57,Blue
258,26x28,26,28,52,50,102,Blue
259,26x280,26,280,50,53,103,Blue
260,26x513,26,513,53,61,114,Blue
261,26x91,26,91,71,82,153,Blue
262,26x239,26,239,81,86,167,Blue
263,26x370,26,370,60,50,110,Blue
264,26x195,26,195,52,56,108,Blue
265,26x57,26,57,74,59,133,Blue
266,26x138,26,138,65,81,146,Blue
267,26x208,26,208,74,71,145,Blue
268,26x161,26,161,62,56,118,Blue
269,26x386,26,386,41,48,89,Blue
270,26x176,26,176,42,36,78,Blue
271,26x40,26,40,37,35,72,Blue
272,26x365,26,365,68,50,118,Blue
273,26x555,26,555,65,35,100,Blue
274,26x712,26,712,59,52,111,Blue
275,26x805,26,805,62,68,130,Blue
276,26x41,26,41,71,69,140,Blue
277,26x517,26,517,61,66,127,Blue
278,26x227,26,227,39,40,79,Blue
279,26x705,26,705,46,56,102,Blue
280,26x158,26,158,51,44,95,Blue
281,26x908,26,908,50,58,108,Blue
282,26x890,26,890,69,70,139,Blue
283,26x129,26,129,57,59,116,Blue
284,26x820,26,820,43,42,85,Blue
285,26x595,26,595,56,44,100,Blue
286,26x318,26,318,51,56,107,Blue
