female,male,rep,d1_female_dead_at_transfer,d1_male_dead_at_transfer,d1_eggs,d1_d10female,d1_d10male,d1_d13female,d1_d13male,d1_d16female,d1_d16male,d1_d18female,d1_d18male,d2_female_dead_at_transfer,d2_male_dead_at_transfer,d2_eggs,d2_d10female,d2_d10male,d2_d13female,d2_d13male,d2_d16female,d2_d16male
D2R,367,1,,,69,22,29,0,0,0,0,,,,,3,0,0,0,0,0,0
D2R,367,2,,,30,9,8,0,0,0,0,,,,,4,2,5,0,0,0,0
D2R,367,3,,,22,17,7,0,0,0,0,,,,,3,1,0,0,0,0,0
D2R,367,4,,1,41,12,12,0,0,0,0,,,,,5,0,0,0,0,0,0
D2R,367,5,,,59,10,9,1,0,0,0,,,,,22,1,0,0,0,0,0
CG17003,367,1,,,38,15,20,0,0,0,0,,,,,101,1,3,4,17,0,0
CG17003,367,2,,,94,30,38,4,10,0,0,,,,,23,14,15,0,0,0,0
CG17003,367,3,,,88,30,42,3,8,0,0,,,,,8,5,1,0,0,0,0
CG17003,367,4,,,108,19,20,1,1,0,0,,,,,57,5,8,3,4,0,0
CG17003,367,5,,,102,10,13,16,15,0,0,,,,,51,14,15,2,2,0,0
U26,367,1,,1,52,24,18,0,1,0,0,,,,,30,4,12,1,0,0,0
U26,367,2,,,35,8,13,0,0,0,0,,,,,23,7,13,1,0,0,0
U26,367,3,,,41,16,14,0,2,0,0,,,,,83,1,3,5,7,0,0
U26,367,4,,,79,12,16,9,9,0,0,,,,,64,7,4,0,8,0,0
U26,367,5,,,97,16,9,12,18,0,0,,,,,69,20,6,5,5,0,4
CG7510,367,1,,1,75,37,34,0,0,0,0,,,,,70,8,13,0,0,0,0
CG7510,367,2,,,92,28,25,9,11,1,0,0,0,,,26,10,15,0,0,0,0
CG7510,367,3,,1,118,7,7,12,19,0,0,,,,,59,15,16,1,3,0,0
CG7510,367,4,,,128,2,4,8,4,0,0,,,,,64,7,4,2,6,0,1
CG7510,367,5,,,112,8,8,7,3,0,0,0,0,,,55,0,0,0,1,0,0
CG30048,367,1,,,109,33,30,5,10,0,13,0,0,,,13,4,4,0,2,0,0
CG30048,367,2,,1,49,21,9,0,13,0,1,,,,,96,5,4,6,12,0,3
CG30048,367,3,,,91,6,5,9,11,0,2,,,,,59,10,9,7,8,0,0
CG30048,367,4,,,90,25,14,10,20,1,0,0,0,,,72,25,20,1,5,0,0
CG30048,367,5,,,87,22,21,5,14,0,0,,,,,78,29,33,0,0,0,0
CG31897,367,1,,,80,30,32,0,1,0,0,,,,,6,1,4,0,0,0,0
CG31897,367,2,,,73,32,31,0,1,0,0,,,,,59,19,14,0,1,0,0
CG31897,367,3,,,76,16,7,10,10,0,0,,,,,64,8,6,3,4,0,0
CG31897,367,4,,,69,19,24,1,4,0,0,,,,,86,11,7,8,9,1,0
CG31897,367,5,,,94,21,16,8,12,0,0,,,,,81,2,4,3,4,0,0
Or49a,367,1,,,78,32,26,0,0,0,0,,,,,50,22,15,0,0,0,0
Or49a,367,2,,,123,30,27,5,6,0,0,,,,1,42,18,17,0,0,0,0
Or49a,367,3,,,85,12,16,0,0,0,0,0,1,,,51,14,18,0,0,0,0
Or49a,367,4,,,107,13,9,4,4,0,1,,,,,51,9,9,4,8,0,0
Or49a,367,5,,,59,20,19,0,1,0,0,,,,,36,9,7,1,5,0,0
V60000,367,5,,,83,12,12,5,7,0,0,,,,,32,9,10,0,2,0,0
V60000,367,6,,,84,7,4,12,16,0,0,,,,,48,0,0,1,2,0,0
V60000,367,7,,,64,20,17,4,8,0,0,,,,,64,1,2,9,13,1,0
V60000,367,8,,,38,16,13,0,0,0,0,,,,,37,13,9,0,3,0,0
V60000,367,9,,,89,4,1,12,16,0,0,,,,,48,1,0,2,5,0,0
V60000,367,10,,1,50,12,19,3,7,0,0,,,,,49,20,2,3,4,0,0
D2R,375,1,,,54,17,28,1,1,0,0,,,,,6,1,1,0,0,0,0
D2R,375,2,,,55,22,19,1,0,0,0,,,,,13,1,5,1,0,0,0
D2R,375,3,,,43,22,21,0,0,0,0,,,,,15,3,3,0,0,0,0
D2R,375,4,,,26,11,6,0,0,0,0,,,,,11,0,0,0,0,0,0
D2R,375,5,,,40,14,16,0,2,0,0,,,,,17,1,4,0,0,0,0
CG17003,375,1,,,16,6,9,1,0,0,0,,,,,77,18,9,13,19,0,0
CG17003,375,2,,,34,15,19,0,0,0,0,,,,,68,4,3,8,20,0,1
CG17003,375,3,,,99,27,23,13,16,1,0,0,0,,,59,24,19,2,11,0,0
CG17003,375,4,,,83,11,22,6,22,0,0,,,,,60,9,4,10,13,0,0
CG17003,375,5,,,82,19,14,11,27,0,0,,,,,47,9,10,8,7,2,1
U26,375,1,,,70,30,30,0,1,0,0,,,,,66,24,17,8,8,0,0
U26,375,2,,,69,27,21,1,7,0,0,,,,1,58,30,32,0,1,0,0
U26,375,3,,,73,14,18,5,15,1,1,,,,,39,6,13,0,3,0,0
U26,375,4,,,133,5,3,31,46,1,2,,,,,74,10,14,9,13,0,0
U26,375,5,,,72,27,15,4,11,0,0,,,,,69,8,8,17,16,0,0
CG7510,375,1,,,85,33,29,0,2,0,0,,,,,41,24,11,0,4,0,0
CG7510,375,2,,,104,40,31,15,13,0,0,,,,,48,19,23,0,0,0,0
CG7510,375,3,,,131,16,9,12,22,2,2,0,17,,,62,4,3,16,13,0,0
